temp,clouds_all,traffic_volume,day_sin,day_cos
291.75,0,5551.0,0.8660254037891775,-0.4999999999917921
290.36,0,4132.0,0.7071067811866915,-0.7071067811864036
287.86,0,3435.0,0.5000000000047471,-0.8660254037816979
285.91,0,2765.0,0.2588190451129135,-0.9659258262862835
284.31,0,2443.0,1.4852917428388866e-12,-1.0
284.37,0,2076.0,-0.2588190450959881,-0.9659258262908187
284.53,0,1116.0,-0.4999999999895722,-0.8660254037904591
284.26,0,660.0,-0.707106781184591,-0.7071067811885041
283.99,0,384.0,-0.8660254037804163,-0.500000000006967
283.17,0,281.0,-0.9659258262893864,-0.2588190451013334
282.43,0,395.0,-1.0,-4.048635894433406e-12
282.87,0,810.0,-0.9659258262914822,0.25881904509351206
283.23,0,2588.0,-0.8660254037844649,0.4999999999999546
283.02,0,5522.0,-0.7071067811903167,0.7071067811827785
283.17,0,6301.0,-0.500000000009187,0.8660254037791345
283.68,0,5267.0,-0.25881904510380943,0.965925826288723
284.03,0,4692.0,-6.611980046027924e-12,1.0
284.54,0,4383.0,0.25881904509103604,0.9659258262921456
286.93,0,4607.0,0.49999999999773465,0.8660254037857466
288.83,0,4718.0,0.7071067811809658,0.7071067811921292
291.58,0,4443.0,0.8660254037851288,0.4999999999988045
293.54,8,4980.0,0.9659258262880596,0.2588190451062854
294.43,8,5183.0,1.0,9.175324197622444e-12
294.47,8,5756.0,0.9659258262890428,-0.2588190451026161
293.16,24,5028.0,0.8660254037870282,-0.49999999999551475
292.06,24,4540.0,0.7071067811939418,-0.7071067811791533
289.84,24,3593.0,0.5000000000010245,-0.8660254037838472
288.59,36,2947.0,0.2588190451087614,-0.9659258262873961
287.93,36,3722.0,1.1738668349216962e-11,-1.0
287.37,36,2442.0,-0.25881904510014014,-0.9659258262897061
286.61,20,1727.0,-0.4999999999932948,-0.8660254037883098
286.22,20,1195.0,-0.7071067811773407,-0.7071067811957543
285.6,20,776.0,-0.8660254037825655,-0.5000000000032444
285.49,56,666.0,-0.9659258262867326,-0.25881904511123743
284.59,56,448.0,-1.0,2.4990272755537117e-13
284.26,56,512.0,-0.9659258262903696,0.2588190450976641
284.14,24,958.0,-0.8660254037895916,0.4999999999910749
283.95,24,1655.0,-0.7071067811872771,0.7071067811858179
283.86,24,2535.0,-0.5000000000054643,0.8660254037812838
284.15,20,3462.0,-0.2588190451137134,0.9659258262860693
285.09,0,3758.0,-2.3134414240391476e-12,1.0
285.8,0,4089.0,0.2588190450951881,0.9659258262910331
287.46,0,4432.0,0.49999999998885497,0.8660254037908732
291.29,12,4557.0,0.7071067811840054,0.7071067811890897
293.8,12,4421.0,0.8660254037800021,0.5000000000076842
294.8,12,4289.0,0.9659258262891721,0.2588190451021333
295.51,0,4361.0,1.0,4.8767855756336665e-12
298.03,0,4109.0,0.9659258262916965,-0.25881904509271214
294.26,0,3927.0,0.8660254037848789,-0.4999999999992374
293.01,0,3800.0,0.7071067811909022,-0.7071067811821928
290.55,0,3434.0,0.5000000000099042,-0.8660254037787205
288.6,0,2937.0,0.25881904510460935,-0.9659258262885086
287.76,0,2787.0,7.440129727228186e-12,-1.0
288.15,0,2981.0,-0.2588190450902361,-0.9659258262923599
285.69,0,2165.0,-0.49999999999701744,-0.8660254037861607
285.8,32,1794.0,-0.7071067811803803,-0.7071067811927148
284.75,32,776.0,-0.8660254037847148,-0.4999999999995217
284.25,32,666.0,-0.9659258262878452,-0.25881904510708537
283.75,8,413.0,-1.0,-1.0003473878822704e-11
283.27,8,380.0,-0.965925826289257,0.2588190451018162
282.87,8,550.0,-0.8660254037874423,0.49999999999479755
282.55,0,910.0,-0.7071067811945273,0.7071067811785677
282.3,0,1324.0,-0.5000000000017416,0.8660254037834331
283.01,0,2008.0,-0.25881904510956133,0.9659258262871818
284.11,0,2734.0,-1.2566818030417223e-11,1.0
286.88,0,3592.0,0.2588190450993402,0.9659258262899205
290.7,0,3882.0,0.4999999999925776,0.866025403788724
294.52,0,3962.0,0.707106781187045,0.7071067811860501
296.44,0,4044.0,0.8660254037821514,0.5000000000039616
296.68,0,4028.0,0.9659258262865184,0.25881904511203735
296.8,8,4043.0,1.0,5.782469536448897e-13
298.49,8,4335.0,0.965925826290584,-0.2588190450968642
295.59,8,4397.0,0.8660254037900056,-0.4999999999903577
293.82,0,3944.0,0.7071067811878626,-0.7071067811852324
290.19,0,4191.0,0.5000000000061815,-0.8660254037808698
288.12,0,3221.0,0.25881904511451337,-0.9659258262858549
287.21,0,2190.0,3.1415911052394084e-12,-1.0
286.38,0,1468.0,-0.2588190450943882,-0.9659258262912473
285.64,0,958.0,-0.5000000000007401,-0.8660254037840114
285.69,0,552.0,-0.7071067811834199,-0.7071067811896753
285.36,0,407.0,-0.866025403779588,-0.5000000000084014
284.82,0,264.0,-0.9659258262889577,-0.2588190451029333
284.81,0,341.0,-1.0,-5.704935256833927e-12
282.55,0,852.0,-0.9659258262919108,0.25881904509191217
283.81,0,2659.0,-0.866025403785293,0.4999999999985202
284.05,0,5531.0,-0.7071067811914878,0.7071067811816073
283.87,0,6066.0,-0.5000000000106214,0.8660254037783064
284.76,0,4873.0,-0.25881904510540926,0.9659258262882943
285.81,0,4477.0,-8.268279408428447e-12,1.0
